nx;ny;niters;seconds
1024;1024;100;0.065382
1024;1024;100;0.211918
1024;1024;100;0.235263
1024;1024;100;0.186976
4096;4096;100;5.749302
1024;1024;100;0.187762
1024;1024;100;0.176495
1024;1024;100;0.187352
1024;1024;100;0.941392
1024;1024;100;0.940183
1024;1024;100;0.186471
1024;1024;100;0.185754
1024;1024;100;0.187339
1024;1024;100;0.186312
1024;1024;100;0.945595
1024;1024;100;0.909722
1024;1024;100;0.908791
1024;1024;100;1.385666
1024;1024;100;1.394303
1024;1024;100;1.378003
1024;1024;100;0.965396
1024;1024;100;0.897550
1024;1024;100;1.071521
1024;1024;100;0.909288
1024;1024;100;0.907157
1024;1024;100;1.426088
1024;1024;100;0.895522
1024;1024;100;1.426697
1024;1024;100;0.1872121024;1024;100;0.907566
1024;1024;100;0.1876641024;1024;100;0.1882411024;1024;100;0.914823
1024;1024;100;0.907007
1024;1024;100;0.912237
1024;1024;100;0.905683
1024;1024;100;0.894310
1024;1024;100;0.910927
1024;1024;100;0.903316
1024;1024;100;0.913828
1024;1024;100;0.914313
1024;1024;100;3.019591
1024;1024;100;1.832312
1024;1024;100;1.375091
1024;1024;100;0.902002
64;64;10;0.085756
64;64;10;0.088102
1024;1024;100;0.865750
1024;1024;100;0.924166
1024;1024;100;0.007135
1024;1024;100;0.917022
1024;1024;100;0.919309
1024;1024;100;0.908937
1024;1024;100;0.899017
1024;1024;100;0.916934
1024;1024;100;0.934670
1024;1024;100;0.911630
1024;1024;100;0.918681
1024;1024;100;0.916735
1024;1024;100;0.916756
1024;1024;100;0.919887
1024;1024;100;0.921608
1024;1024;100;0.922540
1024;1024;100;0.898477
1024;1024;100;0.926798
1024;1024;100;0.921865
1024;1024;100;0.922593
1024;1024;100;0.904371
1024;1024;100;0.913578
1024;1024;100;0.912500
1024;1024;100;0.920760
1024;1024;100;0.909939
1024;1024;100;0.917066
1024;1024;100;0.923526
1024;1024;100;0.924325
1024;1024;100;0.920240
1024;1024;100;0.920324
1024;1024;100;0.917371
1024;1024;100;0.908648
1024;1024;100;0.918247
1024;1024;100;0.914806
1024;1024;100;0.913622
1024;1024;100;0.924981
1024;1024;100;0.905228
1024;1024;100;0.916992
1024;1024;100;0.918550
1024;1024;100;0.915184
1024;1024;100;0.000000
1024;1024;100;0.000000
1024;1024;100;0.000000
1024;1024;100;1.206619
1024;1024;100;0.911882
1024;1024;100;0.920099
1024;1024;100;0.911794
1024;1024;100;0.910219
1024;1024;100;0.923844
1024;1024;100;0.899445
1024;1024;100;0.923748
1024;1024;100;0.914205
1024;1024;100;0.929185
1024;1024;100;0.907968
1024;1024;100;0.901695
1024;1024;100;0.910953
1024;1024;100;0.908707
1024;1024;100;0.913334
1024;1024;100;1.136458
1024;1024;100;1.117163
1024;1024;100;1.118145
1024;1024;100;0.890782
1024;1024;100;0.906800
1024;1024;100;0.894357
1024;1024;100;0.904906
1024;1024;100;0.910494
1024;1024;100;0.880516
1024;1024;100;0.901431
1024;1024;100;0.903489
1024;1024;100;0.905167
1024;1024;100;0.903908
1024;1024;100;0.898518
1024;1024;100;0.897879
1024;1024;100;0.903766
1024;1024;100;0.900886
1024;1024;100;0.899890
1024;1024;100;0.891158
1024;1024;100;0.896711
1024;1024;100;0.902289
1024;1024;100;0.898026
1024;1024;100;0.891436
1024;1024;100;0.898546
1024;1024;100;0.898225
1024;1024;100;0.902555
1024;1024;100;0.903281
1024;1024;100;0.906248
1024;1024;100;0.896681
1024;1024;100;0.900011
1024;1024;100;0.906919
1024;1024;100;0.894781
1024;1024;100;0.903560
1024;1024;100;0.889027
1024;1024;100;0.897986
1024;1024;100;0.897169
1024;1024;100;0.895942
1024;1024;100;0.907849
1024;1024;100;0.900177
1024;1024;100;0.893672
1024;1024;100;0.895090
1024;1024;100;0.903413
1024;1024;100;0.899476
1024;1024;100;0.897378
1024;1024;100;0.903536
1024;1024;100;0.894833
1024;1024;100;0.919099
1024;1024;100;0.894148
1024;1024;100;0.912092
1024;1024;100;0.897630
1024;1024;100;0.910367
1024;1024;100;0.897167
1024;1024;100;0.892751
1024;1024;100;0.899784
1024;1024;100;0.892431
1024;1024;100;0.904049
1024;1024;100;0.900655
1024;1024;100;0.895246
1024;1024;100;0.910057
1024;1024;100;0.894308
1024;1024;100;0.901304
1024;1024;100;0.893950
1024;1024;100;0.907155
1024;1024;100;0.878310
1024;1024;100;0.896503
1024;1024;100;0.895960
1024;1024;100;0.904803
1024;1024;100;0.881882
1024;1024;100;0.905584
1024;1024;100;0.889585
1024;1024;100;0.892759
1024;1024;100;0.906591
1024;1024;100;0.907584
1024;1024;100;0.906315
1024;1024;100;0.891139
1024;1024;100;0.906735
1024;1024;100;0.900731
1024;1024;100;0.908969
1024;1024;100;0.908962
1024;1024;100;0.909298
1024;1024;100;0.901765
1024;1024;100;0.903582
1024;1024;100;0.903712
1024;1024;100;0.909784
1024;1024;100;0.911636
1024;1024;100;0.902888
1024;1024;100;0.902930
1024;1024;100;0.887791
1024;1024;100;0.902289
1024;1024;100;0.898653
1024;1024;100;0.905746
1024;1024;100;0.899616
1024;1024;100;0.901253
1024;1024;100;0.896531
1024;1024;100;0.902831
1024;1024;100;0.893620
1024;1024;100;0.904354
1024;1024;100;0.905884
1024;1024;100;0.909312
1024;1024;100;0.903230
1024;1024;100;0.880618
1024;1024;100;0.911747
1024;1024;100;0.906822
1024;1024;100;0.900266
1024;1024;100;0.909488
1024;1024;100;0.905623
1024;1024;100;0.892051
1024;1024;100;0.903103
1024;1024;100;0.905418
1024;1024;100;0.901873
1024;1024;100;0.910247
1024;1024;100;0.908810
1024;1024;100;0.888344
